boro_cd,shape_area,shape_leng,pct_recyc_2018,pct_recyc_2009,pct_change,crime_count,crime_per_1000,fp_100_mhhi,fp_100_rent_burden,mean_commute,neighborhoods,over65_rate,pct_foreign_born,poverty_rate,under18_rate,unemployment_cd,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,BOROUGH_ID,year,total_recycled,percent_recycled
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4728.9,714.7,386.8,,3,2011,1101.5,0.232929434
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4701.9,633.8,366.9,,3,2012,1000.7,0.212828856
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4982.7,698.2,388.2,,3,2011,1086.4,0.218034399
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4788,587.6,336.9,,3,2012,924.5,0.193086884
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4079.3,605.8,331.1,,3,2013,936.9,0.229671757
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4973.8,683.2,405.7,,3,2009,1088.9,0.218927178
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4426.3,653.5,375.2,,3,2009,1028.7,0.232406299
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4980.3,611.3,513.8,176.6,3,2017,1125.1,0.225910086
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4896.6,596.8,496.3,,3,2016,1093.1,0.223236531
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5021.2,643.7,487.9,,3,2015,1131.6,0.225364455
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4934.9,610.1,495.9,70.3,3,2018,1106,0.224118017
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5049.8,654.7,520.5,87.6,3,2018,1175.2,0.232722088
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4681.4,645.2,418.8,,3,2011,1064,0.227282437
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5077.9,648.8,394.1,,3,2013,1042.9,0.205380177
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4980.8,705.4,388.2,,3,2012,1093.6,0.219563122
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5140.1,666.4,437,,3,2014,1103.4,0.214665084
