year,boro_cd,total_recycled,total_refuse,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,fp_100_mhhi,pct_black_nh,pct_foreign_born,pct_hispanic,pct_white_nh,poverty_rate,unemployment_cd
2019-01-01,210,7240.300000000001,25494.999999999996,28.39890174544029,24.07877957776413,17.941615993136285,4.3201221676761605,42000.0,27.9,21.7,38.4,28.4,14.0,4.9
2009-01-01,211,7190.499999999999,36828.1,19.52449352532441,19.52449352532441,0.0,0.0,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2010-01-01,211,6743.599999999999,36335.2,18.559413461326756,19.52449352532441,-4.94291983935915,-0.9650800639976538,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2011-01-01,211,6900.1,38770.9,17.797110719637665,19.52449352532441,-8.847260511245668,-1.7273828056867444,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2012-01-01,211,6414.8,36777.0,17.442423253663975,19.52449352532441,-10.663888765974228,-2.0820702716604345,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2013-01-01,211,6455.400000000001,35504.9,18.18171576317635,19.52449352532441,-6.877401251952575,-1.34277776214806,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2014-01-01,211,6685.0999999999985,35738.1,18.70580696791379,19.52449352532441,-4.193125708222512,-0.8186865574106186,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2015-01-01,211,6827.700000000002,35976.3,18.978327398870924,19.52449352532441,-2.797338254869841,-0.5461661264534854,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2016-01-01,211,7081.899999999999,36406.799999999996,19.45213531538064,19.52449352532441,-0.37060223790140734,-0.07235820994376851,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2017-01-01,211,7169.599999999999,35949.09999999999,19.94375380746667,19.52449352532441,2.147355482478752,0.4192602821422611,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2018-01-01,211,7506.799999999999,35799.1,20.969242243520085,19.52449352532441,7.399673217242508,1.444748718195676,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2019-01-01,211,6404.4,30628.799999999996,20.909732016925247,19.52449352532441,7.09487541791598,1.3852384916008376,44000.0,21.4,34.3,46.7,22.0,20.6,6.7
2009-01-01,212,9778.199999999999,47713.7,20.493485099667392,20.493485099667392,0.0,0.0,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2010-01-01,212,9261.5,46914.100000000006,19.741399707124295,20.493485099667392,-3.669875518416843,-0.7520853925430977,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2011-01-01,212,9282.1,49273.100000000006,18.8380678301142,20.493485099667392,-8.077773309431201,-1.655417269553194,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2012-01-01,212,8709.0,46864.5,18.583362673238806,20.493485099667392,-9.320632469972557,-1.910122426428586,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2013-01-01,212,9142.5,45320.700000000004,20.172901124651645,20.493485099667392,-1.5643214097389002,-0.3205839750157473,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2014-01-01,212,9448.0,45347.0,20.834895362427503,20.493485099667392,1.6659453533633073,0.34141026276011033,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2015-01-01,212,9790.900000000001,44623.99999999999,21.940883829329515,20.493485099667392,7.062726142590625,1.4473987296621225,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2016-01-01,212,10389.9,45509.5,22.830178314417868,20.493485099667392,11.402127082759584,2.3366932147504755,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2017-01-01,212,10542.4,44816.00000000001,23.523741520885395,20.493485099667392,14.786437770251105,3.0302564212180023,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2018-01-01,212,11090.300000000001,44289.2,25.040641962374576,20.493485099667392,22.188304432324113,4.547156862707183,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2019-01-01,212,9531.7,38239.399999999994,24.926384828213838,20.493485099667392,21.630775375626033,4.432899728546445,29000.0,65.1,40.2,22.9,6.6,20.9,7.1
2009-01-01,301,9679.399999999998,53459.100000000006,18.106178368135634,18.106178368135634,0.0,0.0,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2010-01-01,301,9552.000000000002,52681.40000000001,18.131636592801254,18.106178368135634,0.14060517988943033,0.025458224665619866,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2011-01-01,301,9971.699999999999,57030.59999999999,17.4848239366235,18.106178368135634,-3.4317260046749176,-0.6213544315121347,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2012-01-01,301,9778.699999999999,56309.200000000004,17.366078722482293,18.106178368135634,-4.08755304739411,-0.7400996456533413,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2013-01-01,301,9986.199999999999,57274.700000000004,17.435621661920532,18.106178368135634,-3.7034690180407615,-0.6705567062151019,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2014-01-01,301,10514.599999999999,58919.9,17.845583580420193,18.106178368135634,-1.4392589226562058,-0.26059478771544065,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2015-01-01,301,11088.9,59698.200000000004,18.574931907494697,18.106178368135634,2.588914843476875,0.4687535393590636,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2016-01-01,301,11895.500000000002,60954.399999999994,19.515408239602067,18.106178368135634,7.783143647510293,1.409229871466433,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2017-01-01,301,12239.099999999999,61752.1,19.819730826967827,18.106178368135634,9.463910185750791,1.7135524588321935,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2018-01-01,301,12966.1,62818.00000000001,20.640739915310895,18.106178368135634,13.998324194329914,2.5345615471752616,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2019-01-01,301,11510.6,54375.4,21.168763815990317,18.106178368135634,16.914587858277198,3.0625854478546835,93000.0,4.5,24.1,23.0,62.6,15.5,4.1
2009-01-01,302,8474.800000000001,25913.399999999998,32.704315141972884,32.704315141972884,0.0,0.0,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
