borough_code,percent_recycled
101,0.45706806069628864
102,0.40503037259647073
103,0.2201182515157241
104,0.3720489519177717
105,0.3465141812563756
106,0.3416526337985118
107,0.3942359072101444
108,0.3842208669083274
109,0.23824215336207252
110,0.18616224034144557
111,0.1805074358874672
112,0.19689664819676225
201,0.13353251655467716
202,0.16516255682938283
203,0.1503076636607669
204,0.13857993458369094
205,0.14583845500114415
206,0.14571251830833445
207,0.1893679145176438
208,0.29251758993362204
209,0.14149442403903198
210,0.28598257842406266
211,0.21018373036820573
212,0.2509380904932135
301,0.20675462801931208
302,0.37043142319763894
303,0.1737703794691006
304,0.20133615111094275
305,0.14176287966858728
306,0.47373214321885015
307,0.25670155155048485
308,0.21050596796262044
309,0.16455804098036184
310,0.3051236865473746
311,0.22881579476095115
312,0.17987590686246646
313,0.1954727836106204
314,0.1800946729638225
315,0.24635155648323018
316,0.12354457114337762
317,0.1695648647273821
318,0.21171277764962457
401,0.30828178235185466
402,0.2747125734565954
403,0.17365207437342825
404,0.18553460918307554
405,0.2833944102302592
406,0.2816504754523368
407,0.24327949861641893
408,0.24190391024000643
409,0.2484132986736374
410,0.2380434792434575
411,0.33036209659154603
412,0.19302012180403338
413,0.24893241043724068
414,0.17163236452067057
501,0.2515627146602148
502,0.2567177741361156
503,0.26075177041915815
