MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID,year,total_recycled,percent_recycled,borough_code
2012-12-01,Brooklyn,12,5969.2,737.9,328.0,,,,,3,2012,1065.9,0.1785666420960933,312
2012-08-01,Brooklyn,12,5085.0,567.9,300.0,,,,,3,2012,867.9,0.17067846607669615,312
2014-05-01,Brooklyn,12,6423.4,732.0,383.1,,,,,3,2014,1115.1,0.1735996512750257,312
2010-05-01,Brooklyn,12,5604.8,611.4,354.2,,,,,3,2010,965.5999999999999,0.17228090208392804,312
2015-02-01,Brooklyn,12,5321.2,737.9,377.6,,37.2,,,3,2015,1115.5,0.20963316545140195,312
2009-08-01,Brooklyn,12,4860.9,543.7,334.4,,,,,3,2009,878.1,0.18064555946429675,312
2016-06-01,Brooklyn,12,6634.4,714.3,438.3,,,,,3,2016,1152.6,0.17373085734957192,312
2018-05-01,Brooklyn,12,6609.6,667.1,441.5,57.6,,,,3,2018,1108.6,0.1677257322682159,312
2016-02-01,Brooklyn,12,5626.8,778.0,403.7,,,,,3,2016,1181.7,0.2100127959053103,312
2017-11-01,Brooklyn,12,6156.8,672.8,436.9,119.8,,,,3,2017,1109.6999999999998,0.18023973492723488,312
2017-05-01,Brooklyn,12,6788.6,718.2,441.3,,,,,3,2017,1159.5,0.1708010488171346,312
2019-09-01,Brooklyn,12,6128.5,657.2,419.1,54.3,71.0,,,3,2019,1076.3000000000002,0.17562209349759325,312
2012-01-01,Queens,10,3149.6,424.1,386.6,,,,23.6,4,2012,810.7,0.2573977647955296,410
2014-09-01,Queens,10,3857.5,380.2,348.2,,,,,4,2014,728.4,0.18882696046662345,410
2010-10-01,Queens,10,3719.5,434.5,357.5,,,,,4,2010,792.0,0.21293184567818255,410
2012-07-01,Queens,10,3969.3,400.7,384.6,,,,,4,2012,785.3,0.1978434484669841,410
2009-02-01,Queens,10,2718.6,359.9,319.9,,,,,4,2009,679.8,0.2500551754579563,410
2010-11-01,Queens,10,3917.1,414.1,350.2,,,,,4,2010,764.3,0.19511883791580506,410
2010-05-01,Queens,10,3964.5,409.1,368.4,,,,,4,2010,777.5,0.19611552528692142,410
2013-11-01,Queens,10,3544.4,360.4,324.7,,,,,4,2013,685.0999999999999,0.1932908249633224,410
2009-11-01,Queens,10,3762.1,407.3,323.8,,,,,4,2009,731.1,0.19433295234044817,410
2010-08-01,Queens,10,3874.7,427.4,374.5,,,,,4,2010,801.9,0.20695795803546083,410
2009-12-01,Queens,10,3537.2,518.0,388.8,,,,,4,2009,906.8,0.25636096347393417,410
