year,boro_cd,total_recycled,total_refuse,total_waste,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,poverty_rate
2011-01-01,306,11476.900000000001,28178.199999999993,39655.09999999999,28.94180067633168,30.129171401405348,-3.94093388515252,-1.1873707250736665,9.6
2012-01-01,306,10763.5,27502.4,38265.9,28.128176784029645,30.129171401405348,-6.641386152698403,-2.000994617375703,9.6
2013-01-01,306,10913.5,27316.199999999997,38229.7,28.547176671540715,30.129171401405348,-5.250707723714044,-1.5819947298646326,9.6
2014-01-01,306,11308.400000000001,26641.299999999996,37949.7,29.798391028124076,30.129171401405348,-1.0978741130127534,-0.3307803732812715,9.6
2015-01-01,306,11568.199999999999,25675.799999999996,37243.99999999999,31.06057351519708,30.129171401405348,3.0913631887941273,0.9314021137917337,9.6
2016-01-01,306,11843.199999999999,24085.7,35928.9,32.962879464720594,30.129171401405348,9.4051974598381,2.833708063315246,9.6
2017-01-01,306,11960.300000000001,24476.000000000004,36436.3,32.825231980195575,30.129171401405348,8.948339610376642,2.6960605787902274,9.6
2018-01-01,306,12069.800000000001,25519.2,37589.0,32.10992577615792,30.129171401405348,6.574207927471187,1.9807543747525749,9.6
2019-01-01,306,9964.9,21726.1,31691.0,31.44394307532107,30.129171401405348,4.363783047330649,1.3147716739157218,9.6
2009-01-01,307,9359.7,39875.4,49235.100000000006,19.010218319857174,19.010218319857174,0.0,0.0,27.9
2010-01-01,307,8882.3,39380.6,48262.899999999994,18.403991471710153,19.010218319857174,-3.188952583010496,-0.6062268481470205,27.9
2011-01-01,307,8918.7,41380.0,50298.7,17.731472185165824,19.010218319857174,-6.7266251927029845,-1.2787461346913496,27.9
2012-01-01,307,8648.2,40129.3,48777.5,17.729895956127315,19.010218319857174,-6.734916675799008,-1.2803223637298586,27.9
2013-01-01,307,8847.300000000001,39917.700000000004,48765.00000000001,18.142725315287603,19.010218319857174,-4.563298484917599,-0.867493004569571,27.9
2014-01-01,307,9178.0,39210.299999999996,48388.299999999996,18.9673950107774,19.010218319857174,-0.22526468849147774,-0.042823309079775385,27.9
2015-01-01,307,9512.6,39231.2,48743.799999999996,19.515507613275947,19.010218319857174,2.657987851149368,0.5052892934187732,27.9
2016-01-01,307,9738.9,39574.4,49313.3,19.74903322227472,19.010218319857174,3.8864093509426656,0.7388149024175448,27.9
2017-01-01,307,9886.5,39346.5,49233.0,20.081043202729877,19.010218319857174,5.632891031841392,1.070824882872703,27.9
2018-01-01,307,9957.199999999999,38878.799999999996,48835.99999999999,20.389057252846264,19.010218319857174,7.253146227935847,1.3788389329890904,27.9
2019-01-01,307,8289.4,33015.2,41304.6,20.068951157982404,19.010218319857174,5.569282899919825,1.0587328381252306,27.9
2009-01-01,308,5187.599999999999,32830.100000000006,38017.700000000004,13.64522314606091,13.64522314606091,0.0,0.0,20.4
2010-01-01,308,5151.4,32518.899999999998,37670.299999999996,13.674964096383624,13.64522314606091,0.2179586951738477,0.02974095032271329,20.4
2011-01-01,308,5284.2,34155.0,39439.2,13.398344794012049,13.64522314606091,-1.8092657731297757,-0.24687835204886177,20.4
2012-01-01,308,5086.7,32913.8,38000.5,13.385876501624978,13.64522314606091,-1.9006405513478208,-0.2593466444359329,20.4
2013-01-01,308,5173.1,32337.0,37510.1,13.791218898376705,13.64522314606091,1.0699403795235263,0.14599575231579465,20.4
2014-01-01,308,5428.4,31986.2,37414.6,14.50877464946839,13.64522314606091,6.3285993505849625,0.8635515034074785,20.4
2015-01-01,308,5750.1,31655.300000000003,37405.4,15.372379389072165,13.64522314606091,12.657588846466371,1.7271562430112546,20.4
2016-01-01,308,6115.4,31073.3,37188.7,16.44424247150344,13.64522314606091,20.512814598056227,2.7990193254425293,20.4
2017-01-01,308,6440.6,31084.499999999996,37525.1,17.16344526730109,13.64522314606091,25.783544054798526,3.5182221212401785,20.4
2018-01-01,308,6798.499999999999,32352.2,39150.7,17.364951329095007,13.64522314606091,27.26029573292763,3.7197281830340962,20.4
2019-01-01,308,5822.099999999999,27300.9,33123.0,17.577212209039033,13.64522314606091,28.815864869994478,3.931989062978122,20.4
2009-01-01,309,4777.1,38043.8,42820.9,11.156000924782058,11.156000924782058,0.0,0.0,20.8
2010-01-01,309,4605.899999999999,37455.3,42061.200000000004,10.950472169124986,11.156000924782058,-1.842315692180596,-0.20552875565707218,20.8
