Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
9318 ROOSEVELT AVE,4015620000,4530112,21,STAPLES,40.74853,-73.873,Elmhurst,9318,82,ROOSEVELT AVE,11372,404,467,POINT (-73.873001 40.74852799999999),14784,66,3,21,68
1011 FLATBUSH AVE,3051260000,3117671,40,STAPLES,40.64671,-73.95789,Erasmus,1011,67,FLATBUSH AVE,11226,314,794,POINT (-73.9578905 40.64670579999999),13510,60,2,11,43
500 8 AVE,1007850000,1014421,3,STAPLES,40.75304,-73.99245,Midtown-Midtown South,500,15,8 AVE,10018,105,109,POINT (-73.9924445 40.75304259999999),12080,11,4,10,8
22 QUINCY ST,3019720000,3056489,35,SALVATION ARMY THRIFT STORE,40.68555,-73.96062,Clinton Hill,22,55,QUINCY ST,11238,302,231,POINT (-73.960619 40.68555090000001),13829,68,2,48,55
1280 LEXINGTON AVE,1015158000,1047955,4,BEST BUY - 86TH AND LEXINGTN NY�(STORE 835),40.77989,-73.9557,Upper East Side-Carnegie Hill,1280,30,LEXINGTON AVE,10028,108,14802,POINT (-73.9557037 40.77988719999999),10099,23,4,51,11
5001 NORTHERN BLVD,4007480000,4014093,26,BEST BUY - LONG ISLAND CITY NY�(STORE 478),40.75345,-73.91212,Astoria,5001,72,NORTHERN BLVD,11377,401,163,POINT (-73.9121271 40.75345229999999),16858,39,3,33,72
2441 31 ST,4008370000,4017321,22,STAPLES,40.77025,-73.91791,Steinway,2441,77,31 ST,11102,401,125,POINT (-73.9179077 40.770246799999995),16859,39,3,4,72
2795 RICHMOND AVE,5024400000,5108454,51,BEST BUY - STATEN ISLAND NY�(STORE 469),40.577,-74.16744,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2795,94,RICHMOND AVE,10314,502,27702,POINT (-74.1674401 40.576994699999986),10700,30,1,9,75
2359 JEROME AVE,2031980000,2014279,14,SALVATION ARMY THRIFT STORE,40.86036,-73.90308,Fordham South,2359,45,JEROME AVE,10468,207,239,POINT (-73.90307750000001 40.860358),11606,24,5,29,34
981 MANHATTAN AVE,3025320000,3064281,33,SALVATION ARMY THRIFT STORE,40.73261,-73.95496,Greenpoint,981,50,MANHATTAN AVE,11222,301,563,POINT (-73.9549618 40.7326092),18182,36,2,38,57
2231 3 AVE,1017860000,1054603,8,GOODWILL THRIFT SHOP - E HARLEM STORE,40.80133,-73.93707,East Harlem North,2231,35,3 AVE,10035,111,194,POINT (-73.937068 40.80132799999999),13093,7,4,35,16
44 W 8 ST,1005530000,1008939,1,GOODWILL GREENWICH VILLAGE BOUTIQUE,40.73295,-73.99864,West Village,44,3,W 8 ST,10011,102,63,POINT (-73.998643 40.73295099999999),12074,57,4,32,3
10234 ATLANTIC AVE,4093800000,4197020,28,STAPLES,40.68979,-73.84133,Richmond Hill,10234,89,ATLANTIC AVE,11416,409,114,POINT (-73.841335 40.6897907),24012,46,3,46,60
469 PRESIDENT ST,3004400000,3007337,39,LOWER EAST SIDE ECOLOGY CENTER�,40.67863,-73.98745,Park Slope-Gowanus,469,60,PRESIDENT ST,11215,306,119,POINT (-73.987452 40.67863100000001),17617,14,2,27,50
361 E 149 ST,2023280000,2000864,17,GOODWILL THRIFT SHOP - 149TH ST STORE,40.81688,-73.9188,Melrose South-Mott Haven North,361,39,E 149 ST,10455,201,65,POINT (-73.918804 40.816877),10933,49,5,43,23
5680 BROADWAY,2032680000,2016172,11,STAPLES,40.88108,-73.90234,Spuyten Duyvil-Kingsbridge,5680,46,BROADWAY,10463,208,283,POINT (-73.9023443 40.88108040000001),11272,48,5,40,33
